MONUMENTO,INDIRIZZO,LAT,LON
ANFITEATRO ROMANO,PIAZZA SANTO ORONZO,40.35254,18.17252
CASTELLO CARLO V,VIA XXV LUGLIO,40.35245,18.17438
CHIESA DEI SANTI NICCOLO&#39 E CATALDO,VIALE SAN NICOLA,40.36213,18.16527
CHIESA DI SANTA IRENE,VIA VITTORIO EMANUELE II,40.3529,18.17003
CONSERVATORIO DI SANATA ANNA,VIA GIUSEPPE LIBERTINI,40.3512,18.16592
CONVENTO DEI TEATINI,VIA VITTORIO EMANUELE II,40.35255,18.16961
MUSEO FERROVIARIO DELLA PUGLIA,VIA GIUSEPPE CODACCI PISANELLI,40.34358,18.16735
MUST MUSEO STORICO DI LECCE ,VIA DEGLI AMMIRATI,40.35177,18.17078
PARCO DI BELLOLUOGO,VIALE SAN NICOLA,40.35959,18.16551
PALAZZO VERNAZZA - CASTROMEDIANO,VIA DEL PALAZZO DEI CONTI DI LECCE,40.35046,18.1707
PALAZZO TURRISI,VIA MARCO BASSEO,40.35104,18.16853
SEDILE VENEZIANO,PIAZZA SANTO ORONZO,40.35286,18.17242
TEATRO COMUNALE PAISIELLO,VIA GIUSEPPE PALMIERI,40.35479,18.16855
TEATRO ROMANO,VIA ARTE DELLA CARTAPESTA,40.35135,18.17058
TORRE DI BELLOLUOGO,VIA DEI CONTI DI LECCE,40.36207,18.15947
VILLA COMUNALE GIUSEPPE GARIBALDI,VIA XXV LUGLIO,40.35514,18.17435